NIS code van de gemeente;Code van de sector;Naam van de sector;Aantal aangiften;Totaal netto belastbaar inkomen;Gemiddeld inkomen per aangifte;Mediaan inkomen per aangifte;Interkwartiel verschil;Interkwartiele coëfficiënt;Interkwartiele assymmetrie
11001;11001A00-;AARTSELAAR-CENTRUM;1 414;57 758 306;40 847;30 905;30 797;100;30
11001;11001A01-;DE LEEUWERIK;1 531;70 106 030;45 791;33 653;37 452;111;29
11001;11001A020;BUERSTEDE;371;19 041 789;51 326;39 748;41 665;105;21
11001;11001A030;YSSELAAR;233;9 387 774;40 291;32 451;31 828;98;24
11001;11001A042;KLEINE GRIPPE;193;10 124 121;52 457;36 431;50 841;140;36
11001;11001A052;LEUG;1 290;50 606 134;39 230;31 440;29 129;93;23
11001;11001A063;TEN DORPE;460;18 451 064;40 111;32 963;27 240;83;17
11001;11001A074;BRUINEN BAARD;19;.;.;.;.;.;.
11001;11001A091;KLEISTRAAT - OEVER;309;19 530 584;63 206;37 486;56 416;150;36
11001;11001A0MA;CLEYDAEL-KASTEEL;36;.;.;25 788;26 845;104;-12
11001;11001A0PA;ZINKVAL;60;3 423 262;57 054;36 892;48 948;133;33
11001;11001A10-;'T HEIKEN;434;19 145 688;44 114;31 143;36 118;116;37
11001;11001A173;NOTELAAN;404;13 344 597;33 031;24 477;19 100;78;31
11001;11001A190;DE REUKENS;192;10 105 154;52 631;37 691;45 528;121;38
11001;11001A20-;DE KOEKOEK;513;24 982 995;48 700;38 142;43 062;113;29
11001;11001A21-;VIERPALEN;705;28 630 626;40 611;33 589;31 958;95;16
11001;11001ZZZZ;NIET TE LOKALISEREN IN EEN SECTOR;5;.;.;.;.;.;.
11002;11002A00-;ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN );1 974;58 163 152;29 465;20 423;17 755;87;38
11002;11002A01-;KLAPDORP - BROUWERSVLIET;1 098;30 960 894;28 198;20 701;19 599;95;34
11002;11002A02-;GROENPLAATS (SPAANSE WALLEN);375;12 836 600;34 231;24 007;22 765;95;29
11002;11002A03-;HOOGSTRAAT (SPAANSE WALLEN);799;22 379 907;28 010;20 243;17 982;89;25
11002;11002A04-;OUDAAN (SPAANSE WALLEN);902;27 382 971;30 358;20 968;23 684;113;32
11002;11002A05-;GEVANGENIS (SPAANSE WALLEN);1 190;31 679 301;26 621;21 352;15 420;72;25
11002;11002A10-;MEIR - LEYSSTRAAT (SP. WALLEN);1 124;38 392 726;34 157;24 172;23 422;97;24
11002;11002A11-;KIPDORP-ST.-JACOBS (SP.WALLEN);1 282;37 627 575;29 351;21 748;23 825;110;28
11002;11002A12-;K.N.S.-NAT. BANK (SP. WALLEN);674;25 488 852;37 817;26 493;28 124;106;34
11002;11002A13-;STADSWAAG-BEGIJNHOF(SP.WALLEN);1 458;38 130 990;26 153;19 346;16 349;85;35
11002;11002A14-;TABAKSVEST (SPAANSE WALLEN);663;25 006 634;37 717;27 217;27 164;100;20
11002;11002A15-;HESSENHUIS (SPAANSE WALLEN);992;31 738 462;31 994;22 918;24 561;107;33
11002;11002A21-;ST.-ANDRIES (SPAANSE WALLEN);1 890;50 029 840;26 471;20 160;15 349;76;31
11002;11002A22-;ST.-MICHIELSKAAI (SP. WALLEN);1 219;43 076 111;35 337;21 567;23 273;108;47
11002;11002B701;LINKEROEVER-ZUID (LINKEROEVER);2 991;63 098 660;21 096;17 632;10 008;57;33
11002;11002B71-;LINKEROEVER - STATION;1 152;38 450 010;33 377;26 211;22 846;87;26
11002;11002B721;LINKEROEVER-NOORD;2 145;68 353 877;31 867;24 786;22 154;89;25
11002;11002B73-;ST.-ANNA (LINKEROEVER);42;1 169 212;27 838;21 293;12 114;57;26
11002;11002B742;THOENETLAAN (LINKEROEVER);917;33 749 112;36 804;27 496;28 699;104;23
11002;11002B752;GLORIANTLAAN (LINKEROEVER);135;4 309 578;31 923;27 377;18 833;69;23
11002;11002B782;GALGEWEEL (LINKEROEVER);49;566 292;11 557;8 418;5 528;66;62
11002;11002B791;ST.-ANNABOS (LINKEROEVER );232;8 431 988;36 345;24 740;20 671;84;42
11002;11002B813;BLANCEFLOERLAAN  (LINKEROEVER);1 557;61 901 838;39 757;31 988;28 188;88;22
11002;11002B824;CHARLES DE COSTERLAAN(L.OEVER);296;5 818 588;19 657;16 522;11 705;71;44
11002;11002C20-;STATIEKWARTIER (STATIONSWIJK);230;4 464 425;19 411;18 049;12 625;70;-14
11002;11002C21-;ATHENEUM (STATIONSWIJK);1 279;32 969 176;25 777;20 611;18 134;88;27
11002;11002C22-;DE CONINCPLEIN-Z.(STATIONSW.);1 210;24 793 889;20 491;16 958;12 284;72;28
11002;11002C23-;OFFERANDESTRAAT(STATIONSWIJK );1 956;47 260 194;24 162;18 906;16 101;85;33
11002;11002C24-;PROVINCIESTRAAT(STATIONSWIJK );1 991;52 862 226;26 551;20 661;18 117;88;28
11002;11002C25-;PELIKAANSTRAAT (STATIONSWIJK );1 336;38 138 888;28 547;20 712;22 927;111;29
11002;11002C31-;JEZUITENCOLLEGE(STATIONSWIJK );692;24 136 085;34 879;26 108;27 534;105;25
11002;11002C41-;DAMBRUGGESTRAAT-N.(STATIONSW.);1 755;39 055 566;22 254;18 158;13 258;73;26
11002;11002C42-;DE ZAVEL (NOORDWIJK );1 802;36 576 798;20 298;17 322;13 625;79;21
11002;11002C43-;ST.-WILLEBRORDUS (NOORDWIJK );1 305;36 648 399;28 083;20 598;20 525;100;33
11002;11002C44-;POTGIETERSTRAAT (NOORDWIJK);993;22 840 155;23 001;19 026;15 886;83;24
11002;11002C45-;STUIVENBERG ZIEKENHUIS(NOORDW);1 366;32 221 446;23 588;19 966;18 491;93;16
11002;11002D30-;CHARLOTTALEI (OOSTWIJK);1 610;44 612 385;27 710;21 461;21 535;100;27
11002;11002D31-;ASTRID BAD (OOSTWIJK);942;25 980 936;27 581;20 091;19 855;99;29
11002;11002D32-;ST.-VINCENTIUS (OOSTWIJK);1 870;62 500 130;33 423;23 132;23 730;103;29
11002;11002D33-;STADSPARK-ZUID (OOSTWIJK);1 443;45 166 215;31 300;21 663;22 826;105;31
11002;11002D34-;DAGERAADPLAATS - OOSTSTATIE (OOSTWIJK);3 150;110 806 444;35 177;25 175;26 607;106;29
11002;11002D35-;VAN DIEPENBEECKSTR. (OOSTWIJK);605;.;.;23 805;24 455;103;26
11002;11002D38-;GAS (OOSTWIJK);7;.;.;.;.;.;.
11002;11002D41-;STAPPAERTS - KRIJGSHOSPITAAL (OOSTWIJK);2 012;70 584 927;35 082;24 628;26 079;106;36
11002;11002D42-;LAMORINIERESTR.-ZUID (EBES) (OOSTWIJK);1 194;40 521 455;33 938;24 730;28 307;114;30
11002;11002E122;WAALSE KAAI (ZUIDWIJK);801;26 397 611;32 956;24 498;21 566;88;23
11002;11002E131;VLAAMSE KAAI (ZUIDWIJK);1 097;43 013 105;39 210;27 902;26 659;96;19
11002;11002E14-;MUSEUMWIJK (ZUIDWIJK);4 176;137 702 524;32 975;25 052;23 188;93;20
11002;11002E15-;GERECHTSHOF (ZUIDWIJK);1 034;35 950 925;34 769;24 870;24 460;98;30
11002;11002E50-;BELL (ZUIDWIJK);3 754;125 387 036;33 401;23 635;24 676;104;36
11002;11002E521;LANGE ELZENSTRAAT (ZUIDWIJK);1 903;60 712 157;31 903;24 487;23 616;96;26
11002;11002E53-;TROONPLAATS (ZUIDWIJK);1 641;48 504 145;29 558;22 547;20 868;93;23
11002;11002E551;GERECHTSHOF (ZUIDWIJK);1 510;57 581 380;38 133;26 621;27 925;105;31
11002;11002E5MJ;SPAGHETTIKNOOP (KIEL);582;22 470 534;38 609;28 010;29 589;106;24
11002;11002F11-;ST.-CATHARINA (KIEL);1 597;37 082 607;23 220;18 737;14 635;78;36
11002;11002F12-;MAURITS SABBELAAN (KIEL);1 265;26 224 275;20 731;18 148;11 875;65;30
11002;11002F21-;KOLONIELAAN (CAM. HUYSMANSL.);2 681;85 898 694;32 040;25 068;21 754;87;23
11002;11002F223;VOLHARDINGSSTRAAT (KIEL);489;9 097 194;18 604;16 581;6 831;41;44
11002;11002F60-;KIEL - CENTRUM (KIEL);827;22 264 068;26 921;22 642;18 296;81;11
11002;11002F61-;BOOMSE STWG-BEERSCHOT (KIEL);2 249;54 440 927;24 207;20 386;18 356;90;17
11002;11002F62-;BEERSCHOT - STADION (KIEL);1 289;26 455 007;20 524;18 577;12 426;67;18
11002;11002F64-;JAN DE VOSLEI (KIEL);1 133;21 380 822;18 871;16 576;9 125;55;38
11002;11002F65-;PIUS X (KIEL);1 145;33 470 422;29 232;24 859;21 751;87;20
11002;11002F6MJ;PETROLEUM - SCHELDEKADEN-Z.;3;.;.;.;.;.;.
11002;11002F6NJ;KIELSE POLDER (KIEL);2;.;.;.;.;.;.
11002;11002G51-;ST.-LAURENTIUS (ZUIDWIJK);1 666;55 674 936;33 418;24 278;25 328;104;25
11002;11002G522;FRANSEN PLAATS (ZUIDWIJK);704;23 363 260;33 186;22 580;21 020;93;35
11002;11002G53-;HARMONIE (ZUIDWIJK);2 112;73 535 662;34 818;24 633;24 129;98;30
11002;11002G54-;KAREL OOMSTRAAT;1 538;65 882 867;42 837;28 522;31 659;111;32
11002;11002G552;C. TEICHMANN PLAATS (ZUIDWIJK);281;10 108 917;35 975;27 235;25 989;95;21
11002;11002G59-;ALBERTPARK (OOSTWIJK);38;2 266 177;59 636;40 571;40 376;100;3
11002;11002G72-;WILRIJKSPL.-W. (WILRIJKSPLEIN);592;20 172 464;34 075;28 592;22 169;78;13
11002;11002G73-;BLOKKEN-KRUISHOFSTR. (WILR.PL);418;11 981 125;28 663;25 560;19 933;78;13
11002;11002G74-;DEN BRANDT (WILRIJKSPLEIN);352;23 548 539;66 899;29 983;44 420;148;38
11002;11002G75-;OOSTERVELD (WILRIJKSPEIN);70;3 384 212;48 346;36 201;40 266;111;11
11002;11002G780;NACHTEGALENPARK(WILRIJKSPLEIN);137;4 516 311;32 966;26 494;21 894;83;9
11002;11002H40-;ST.-AMANDUS (NOORDWIJK);1 893;40 882 196;21 597;17 084;14 903;87;23
11002;11002H41-;STUIVENBERG-WEST;2 225;43 956 361;19 756;16 825;13 525;80;17
11002;11002H43-;ST.-JANSPLEIN-TRAPSTR.(N.WIJK);2 453;59 703 329;24 339;19 653;16 489;84;24
11002;11002H44-;STUIVENBERGPLEIN (NOORDWIJK);1 457;30 861 849;21 182;17 982;13 620;76;27
11002;11002H83-;SLACHTHUISWIJK (DAM-SCHIJNPOORT);1 786;41 518 780;23 247;19 465;15 556;80;22
11002;11002H84-;DAM (DAM - SCHIJNPOORT);337;.;.;23 657;23 147;98;19
11002;11002H8MJ;DAM- LOBROEKDOK (SCHIJNPOORT);1;.;.;.;.;.;.
11002;11002J072;OUDE HAVEN;465;15 634 459;33 622;25 888;24 985;97;11
11002;11002J80-;LUCHTBAL-ZUID;1 705;32 618 092;19 131;17 638;9 299;53;23
11002;11002J820;IJZERLAAN (DAM - SCHIJNPOORT);661;20 489 313;30 997;25 800;22 418;87;14
11002;11002J83-;DUBOISSTRAAT (NOORDWIJK);840;23 695 266;28 209;22 386;19 181;86;19
11002;11002J84-;WILLEMDOK (SPAANSE WALLEN);256;.;.;29 317;38 220;130;41
11002;11002J85-;'T EILANDJE;2 101;81 477 215;38 780;28 052;27 942;100;29
11002;11002J873;HOUTDOK;19;.;.;.;.;.;.
11002;11002J8AN;AN-LUCHTBAL-NOORD;1 238;29 071 969;23 483;20 160;14 711;73;32
11002;11002K171;ALBERTDOK;29;892 007;30 759;26 781;20 054;75;26
11002;11002K173;LEOPOLDDOK FORD-FABRIEKEN;3;.;.;.;.;.;.
11002;11002K1NP;AN-LUITHAGEN-TRANSCONTINENTAALWEG;1;.;.;.;.;.;.
11002;11002K214;LILLO - FORT;31;1 335 771;43 089;34 579;31 013;90;54
11002;11002L000;ZANDVLIET-KERN(ZANDVL.-5 DIST);1 188;48 503 045;40 827;33 125;32 299;98;26
11002;11002L011;STALSHOEK(ZANDVLIET-5 DISTR. );747;32 546 967;43 570;35 219;37 408;106;31
11002;11002L022;GROTE RUIGEHEIDE(ZANDVL.-5DIS);101;3 488 163;34 536;28 310;24 428;86;17
11002;11002L090;NOORDLAANPOLDER-VERSPR. BEW. (ZANDVLIET - 5 DISTRICT);125;5 549 450;44 396;32 679;30 769;94;34
11002;11002L100;BERENDRECHT - KERN (BERENDRECHT - 4 DISTRICT);1 556;64 015 561;41 141;31 182;35 620;114;37
11002;11002L111;STEENHOVENSTRAAT (BERENDRECHT - 4 DISTRICT);551;22 953 728;41 658;34 000;33 007;97;32
11002;11002L122;VISWATER(BERENDRECHT - 4 DIST);1 065;38 445 807;36 099;30 309;28 130;93;14
11002;11002L18-;KRAAIENBERG(BERENDRECHT - 4 D);47;1 635 624;34 801;27 664;20 306;73;18
11002;11002P00-;EKEREN-CENTRUM;898;31 819 517;35 434;28 624;26 304;92;22
11002;11002P01-;EKEREN-DORP;1 320;41 943 659;31 775;25 836;23 118;89;25
11002;11002P02-;SCHOONBROEK;846;29 043 859;34 331;28 804;23 642;82;24
11002;11002P03-;DE GEESTEN;1 582;58 915 561;37 241;29 996;26 247;88;25
11002;11002P04-;HET ZAND;1 500;56 665 740;37 777;29 749;26 880;90;29
11002;11002P05-;LEERHOEKSLAAN;389;17 398 522;44 726;36 061;37 722;105;28
11002;11002P100;MARIABURG;1 241;52 459 342;42 272;32 741;37 411;114;30
11002;11002P111;DE BIST;856;37 763 892;44 117;31 831;36 602;115;33
11002;11002P12-;DE NOTESCHELP;505;21 400 120;42 376;34 617;35 658;103;25
11002;11002P20-;HOEKAKKER;733;28 773 259;39 254;30 919;29 185;94;23
11002;11002P22-;PRINSHOEVELAND;542;24 428 375;45 071;36 836;37 788;103;27
11002;11002P23-;LAGE BIST;1 106;42 993 766;38 873;30 154;31 333;104;30
11002;11002P242;KLAVERVELDEN;134;6 680 531;49 855;42 151;41 887;99;22
11002;11002P2AP;EK-LUCASWIJK;651;31 148 807;47 848;36 385;40 908;112;26
11002;11002P392;VLOEIENDE;1;.;.;.;.;.;.
11002;11002P500;LEUGENBERG;661;26 042 943;39 399;31 608;33 377;106;29
11002;11002P589;DE HOEKX;79;3 741 708;47 363;36 500;40 907;112;40
11002;11002P590;KROMMESTR.- AKKER - BREDESTR.- VELDEN;66;.;.;37 018;28 087;76;8
11002;11002P6AK;EK-LEUGENBERG-ZUID;100;3 610 727;36 107;34 069;24 975;73;9
11002;11002P6BK;EK-SCHOONBROEK - TWEEKRONEN;395;16 713 192;42 312;35 674;31 682;89;20
11002;11002P6CK;EK-SCHOONBROEK HANDBOOG;365;14 058 969;38 518;32 660;30 857;94;25
11002;11002P6DK;EK-GR.HAGELKRUIS-L.BAEKELANDSTRAAT;784;25 286 314;32 253;27 934;24 509;88;22
11002;11002P6EK;EK-DONKSE BEEK;930;18 199 178;19 569;16 868;9 665;57;43
11002;11002Q001;OUD MERKSEM;1 963;47 940 705;24 422;21 248;15 281;72;18
11002;11002Q012;MERKSEM-CENTRUM;2 065;49 683 186;24 060;20 922;15 827;76;23
11002;11002Q021;LAATLOS;480;11 301 886;23 546;20 243;16 271;80;21
11002;11002Q03-;GAGELVELDEN;1 828;55 170 404;30 181;26 387;21 278;81;15
11002;11002Q04-;KLUIZEVELDEN;1 390;42 876 255;30 846;25 502;22 783;89;24
11002;11002Q052;EIGEN HEERD;439;9 564 535;21 787;19 497;16 383;84;11
11002;11002Q072;DUIVELSHOEK;86;1 907 658;22 182;17 826;14 988;84;50
11002;11002Q091;PARK;20;.;.;.;.;.;.
11002;11002Q10-;OUDE BAREEL;1 725;53 710 903;31 137;24 793;22 039;89;25
11002;11002Q11-;MERKSEMHEIDE;836;28 751 032;34 391;28 312;26 350;93;20
11002;11002Q12-;KROONWIJK;2 291;76 254 397;33 284;27 488;24 448;89;20
11002;11002Q13-;MELGESDREEF;1 752;51 767 036;29 547;24 114;20 389;85;23
11002;11002Q14-;TUINWIJK;1 736;55 611 233;32 034;25 172;22 144;88;34
11002;11002Q17-;MERKSEM-DOKKEN;50;1 598 037;31 961;31 575;20 833;66;7
11002;11002Q201;LAMBRECHTSHOEKEN;3 519;107 826 260;30 641;25 821;20 473;79;23
11002;11002Q212;LAARSE BAAN-WEST;1 645;48 881 953;29 715;25 862;18 685;72;18
11002;11002Q222;RIETSCHOORVELDEN;257;9 106 433;35 434;30 869;25 249;82;11
11002;11002Q233;LAARSE BAAN-OOST;829;27 344 090;32 984;28 480;21 112;74;19
11002;11002Q241;KRUISBAANVELDEN;6;.;.;.;.;.;.
11002;11002Q242;KRUISBAANVELDEN;542;18 510 517;34 152;28 448;20 952;74;17
11002;11002Q2AA;'T LAAR;735;34 209 918;46 544;36 415;39 887;110;29
11002;11002Q2PP;ME-MERKSEMSE POLDER;5;.;.;.;.;.;.
11002;11002Q30-;KLEINE BAREEL;131;5 422 477;41 393;31 111;32 160;103;14
11002;11002Q49-;SPORTPALEIS;2;.;.;.;.;.;.
11002;11002R00-;DEURNE - GEMEENTEHUIS;441;12 311 443;27 917;23 128;19 799;86;23
11002;11002R01-;PLANKENBERG;1 534;47 169 963;30 750;23 668;23 247;98;35
11002;11002R02-;DEURNE-HET DORP;733;18 520 080;25 266;20 521;16 939;83;34
11002;11002R03-;GALLIFORT;2 085;55 229 237;26 489;22 411;18 404;82;21
11002;11002R04-;KREGLINGER;955;27 688 364;28 993;24 138;19 097;79;18
11002;11002R05-;TER RIVIEREN;1 474;52 062 085;35 320;26 609;26 148;98;29
11002;11002R099;RIVIERENHOF-NOORD;15;.;.;.;.;.;.
11002;11002R101;KRONENBURG;2 630;61 793 365;23 496;20 836;18 734;90;19
11002;11002R110;BISSCHOPPENHOF;3 139;83 093 859;26 471;23 417;16 217;69;17
11002;11002R12-;CONFORTA;1 870;47 227 245;25 255;22 139;18 809;85;20
11002;11002R13-;TEN EEKHOVE;2 892;74 415 073;25 731;22 061;20 100;91;23
11002;11002R172;KANAAL;23;545 202;23 704;24 909;36 265;146;-12
11002;11002R180;BREM;741;21 790 679;29 407;24 574;18 384;75;23
11002;11002R19-;KRUININGE;586;13 618 933;23 240;20 723;12 962;63;22
11002;11002R20-;VENNEBORG;2 498;73 145 763;29 282;25 204;18 969;75;15
11002;11002R21-;MORTELHOEK;2 093;60 839 334;29 068;25 305;18 685;74;23
11002;11002R22-;ERTBRUGGE;956;28 402 490;29 710;25 713;18 726;73;17
11002;11002R23-;ZWARTE AREND;1 890;58 753 533;31 087;27 060;20 974;78;16
11002;11002R24-;SCHOTENSTEENWEG;1 621;55 736 158;34 384;26 099;23 781;91;22
11002;11002R28-;RUGGEVELD;55;1 124 864;20 452;16 263;12 325;76;51
11002;11002R30-;'T MESTPUTTEKE;800;22 554 531;28 193;22 892;20 703;90;30
11002;11002R31-;DRIEKONINGEN;2 412;70 924 657;29 405;23 966;19 631;82;22
11002;11002R32-;ARENA;1 070;28 627 542;26 755;22 233;16 890;76;28
11002;11002R33-;KRIEKENHOF;1 657;59 019 575;35 618;28 024;27 516;98;25
11002;11002R34-;MUGGENBERG;797;21 695 476;27 221;21 683;17 849;82;20
11002;11002R35-;MORKHOVEN;1 621;47 156 903;29 091;24 920;19 230;77;21
11002;11002R39-;BOTERLAARHOF;11;.;.;.;.;.;.
11002;11002R401;BOEKENBERG;1 789;65 110 121;36 395;28 773;26 243;91;23
11002;11002R41-;DRAKENHOF;1 335;50 448 745;37 789;30 766;29 953;97;24
11002;11002R42-;BOEKENBERGLEI;756;26 871 830;35 545;27 250;27 555;101;27
11002;11002R43-;EKSTERLAAR;1 572;51 629 103;32 843;27 597;24 057;87;20
11002;11002R44-;BOTERLAAR - SILSBURG;1 547;46 261 419;29 904;24 931;19 500;78;25
11002;11002R47-;VLIEGVELD;60;1 631 473;27 191;21 087;17 649;84;28
11002;11002S00-;BORGERHOUT - GEMEENTEHUIS;2 339;65 942 242;28 192;22 737;20 823;92;22
11002;11002S01-;FONTEINSTRAAT;1 975;49 295 389;24 960;19 583;14 910;76;30
11002;11002S02-;DEN BLEEKHOF;1 920;48 649 672;25 338;21 299;16 944;80;22
11002;11002S03-;KROONSTRAAT-WEST;1 339;36 278 545;27 094;21 630;20 433;94;23
11002;11002S04-;HET LAAR;2 027;56 215 380;27 733;21 850;19 344;89;27
11002;11002S05-;KATTENBERG;1 303;33 402 240;25 635;20 365;18 618;91;31
11002;11002S10-;STENENBRUG-ZUID;968;26 522 857;27 400;24 068;18 836;78;16
11002;11002S11-;COLLEGE;1 774;53 993 579;30 436;26 200;21 270;81;18
11002;11002S12-;VAN DE PERRELEI;1 415;44 553 491;31 487;24 074;22 414;93;29
11002;11002S13-;BOELAERPARK-NOORD;613;20 712 473;33 789;27 030;23 769;88;16
11002;11002S20-;FOORPLEIN;475;12 085 032;25 442;22 075;17 274;78;31
11002;11002S2MJ;E3 - E39;487;12 610 508;25 894;22 580;15 128;67;16
11002;11002S30-;DE PEPERBUS;1 910;47 579 463;24 911;20 160;17 950;89;25
11002;11002S31-;ST.-ANNA;2 082;49 726 401;23 884;20 160;16 366;81;19
11002;11002S41-;LABORATORIUM;1 188;38 711 255;32 585;24 537;25 488;104;33
11002;11002S42-;GITSCHOTEL;1 828;55 359 567;30 284;25 029;19 367;77;21
11002;11002S43-;CRUYSLEI;893;28 250 766;31 636;23 036;20 108;87;30
11002;11002T00-;OP TEN BERGH;1 919;55 868 854;29 114;23 731;21 456;90;16
11002;11002T01-;POSTHOF;1 326;41 834 858;31 550;23 152;23 488;101;31
11002;11002T02-;HOFVELD;838;22 441 617;26 780;20 678;17 241;83;41
11002;11002T03-;STUIVENBERG;1 551;58 283 059;37 578;27 251;29 703;109;27
11002;11002T04-;OUDE JUSTITIE;1 057;47 081 347;44 542;30 324;31 843;105;24
11002;11002T05-;TURKEYEN;1 212;40 973 685;33 807;26 627;26 116;98;20
11002;11002T09-;VESTINGEN;374;8 864 786;23 703;19 534;10 340;53;34
11002;11002T10-;RUYTENBURG;1 363;56 336 351;41 333;28 947;30 237;104;25
11002;11002T111;FRUITHOF;2 289;74 400 363;32 503;25 441;20 899;82;24
11002;11002T12-;OUDE BAEN;1 148;40 951 485;35 672;25 510;23 454;92;25
11002;11002T13-;MOLENVELD;1 297;59 840 259;46 137;31 388;32 407;103;25
11002;11002T14-;DE VELDEKENS;1 612;67 272 347;41 732;29 846;30 780;103;30
11002;11002T180;ROOY;434;16 977 299;39 118;29 461;28 148;96;29
11002;11002T20-;GITSCHOTEL;2 407;75 046 211;31 178;24 664;21 878;89;24
11002;11002T21-;VOSSTRAETE;950;27 398 416;28 840;23 034;20 764;90;33
11002;11002T22-;GROENENHOEK;1 196;40 006 620;33 450;27 553;25 752;93;20
11002;11002T23-;BERCHEMBOS;750;25 628 833;34 172;27 596;27 197;99;26
11002;11002T24-;TUINWIJK;448;13 024 009;29 071;24 232;21 195;87;24
11002;11002T25-;HET PRIEEL;272;.;.;17 713;11 804;67;34
11002;11002T30-;ZURENBORG;1 086;45 562 614;41 955;27 700;32 376;117;30
11002;11002T39-;OOSTKWARTIER;5;.;.;.;.;.;.
11002;11002T412;ZILVERBEEK;1 152;38 703 075;33 596;26 666;21 801;82;29
11002;11002T42-;DE ZEPTEN;1 182;40 419 461;34 196;27 186;22 964;84;20
11002;11002U00-;WILRIJK-CENTRUM;1 910;65 657 978;34 376;27 027;22 407;83;26
11002;11002U01-;YPERMAN - STEYTELINCK;1 923;61 281 274;31 868;24 415;22 114;91;27
11002;11002U02-;OVERSNES - DUIVELSHOEK;1 806;61 075 219;33 818;26 767;25 437;95;26
11002;11002U03-;KOORNBLOEM;1 377;56 073 216;40 721;30 480;29 512;97;22
11002;11002U09-;SLIJKHOEK - FORT 6;56;1 924 598;34 368;27 082;28 522;105;5
11002;11002U10-;HONDSNEST - MOLENVELD;1 923;68 994 093;35 878;27 384;25 308;92;26
11002;11002U11-;PARKWIJK;1 136;55 203 299;48 594;27 432;32 658;119;31
11002;11002U20-;VALAAR - DE BREM;3 148;100 458 798;31 912;25 058;23 002;92;26
11002;11002U21-;DE BRUYNLAAN-ZUID;1 848;56 156 058;30 387;25 604;22 055;86;15
11002;11002U22-;DE BRUYNLAAN-NOORD;603;13 644 888;22 628;20 561;17 699;86;8
11002;11002U30-;OOSTERVELD;1 882;69 567 115;36 964;28 011;26 502;95;26
11002;11002U31-;ELSDONK-OOST;661;24 935 302;37 724;30 718;28 710;93;20
11002;11002U32-;ELSDONK-WEST;602;37 498 249;62 289;37 875;55 295;146;32
11002;11002U33-;SINT-AUGUSTINUS;1 594;58 372 229;36 620;28 064;24 184;86;19
11002;11002U40-;EDEN;1 095;45 371 987;41 436;32 027;30 880;96;30
11002;11002U41-;U.I.A. VOORJAARSSTRAAT;432;16 906 803;39 136;29 951;26 614;89;25
11002;11002U43-;GALLAITLAAN;732;26 384 019;36 044;29 131;24 464;84;19
11002;11002U47-;INDUSTRIEPARK-OOST;121;4 814 854;39 792;31 569;24 757;78;27
11002;11002U57-;TER BEKE HOF DREEF;89;2 827 009;31 764;26 362;22 122;84;20
11002;11002U5MA;GROENE HOEK - TER BEKE;7;.;.;.;.;.;.
11002;11002U5PA;GROENE HOEK - TER BEKE;4;.;.;.;.;.;.
11002;11002U60-;DOOY SLOOY;223;8 922 803;40 013;28 261;40 722;144;37
11002;11002U68-;SCHOONSELHOF - FORT 7;1;.;.;.;.;.;.
11002;11002U69-;KLAVERBLAD;5;.;.;.;.;.;.
11002;11002V00-;HOBOKEN - CENTRUM;943;30 217 316;32 044;26 079;22 151;85;19
11002;11002V01-;KLOOSTERSTRAAT;1 138;37 326 641;32 800;27 271;23 442;86;16
11002;11002V02-;VINKEVELDEN;703;19 944 256;28 370;22 328;19 710;88;34
11002;11002V03-;KAPELSTRAAT;714;23 011 603;32 229;25 959;24 651;95;21
11002;11002V04-;SPORT PARK BELL;1 040;35 381 315;34 020;28 790;22 173;77;17
11002;11002V05-;LEOPOLDLEI;1 264;41 387 527;32 743;26 403;25 524;97;20
11002;11002V07-;METALLURGIE - COCKERILL;4;.;.;.;.;.;.
11002;11002V099;PARK ZORGVLIET;16;.;.;.;.;.;.
11002;11002V10-;ZWAANTJES;2 804;82 969 502;29 590;25 546;21 596;85;15
11002;11002V11-;PORTUGESEHOF;1 922;56 668 601;29 484;25 669;20 961;82;19
11002;11002V12-;WEERSTANDLAAN;856;22 549 900;26 343;22 456;17 036;76;23
11002;11002V13-;HEIDE;2 130;60 224 067;28 274;23 699;20 104;85;23
11002;11002V14-;LICHTENBERG;1 417;42 133 874;29 735;24 427;20 576;84;29
11002;11002V19-;BEGRAAFPLAATS;137;5 056 803;36 911;25 121;22 841;91;41
11002;11002V20-;MEERLENHOF;1 061;36 974 584;34 849;28 990;25 210;87;22
11002;11002V21-;STUIVENBERG;451;9 001 553;19 959;18 257;13 062;72;7
11002;11002V22-;NACHTEGALENHOF-NOORD;778;27 542 813;35 402;29 883;28 090;94;18
11002;11002V23-;NACHTEGALENHOF-ZUID;1 004;39 455 804;39 299;33 199;30 876;93;24
11002;11002V301;MORETUSBURG;931;26 706 025;28 685;24 597;21 932;89;29
11002;11002V312;VISPUTTEN;762;29 843 728;39 165;33 075;32 796;99;19
11002;11002V322;POLDERSTAD;892;39 769 520;44 585;37 895;34 544;91;22
11002;11002V373;INDUSTRIEPARK;5;.;.;.;.;.;.
11002;11002V391;POLDERBOS;1;.;.;.;.;.;.
11002;11002ZZZZ;NIET TE LOKALISEREN IN EEN SECTOR;420;6 198 693;14 759;6 947;13 919;200;35
11004;11004A00-;BOECHOUT-CENTRUM;762;29 884 177;39 218;27 770;31 855;115;35
11004;11004A01-;HOVEREVELD;408;19 611 149;48 067;32 679;38 482;118;27
